x,y,shapeID,colorNum,classification,color
799,17104,0,0,,Black
752,17104,0,0,,Black
751,17103,0,0,,Black
751,17072,0,0,,Black
688,17072,0,0,,Black
688,17103,0,0,,Black
687,17104,0,0,,Black
640,17104,0,0,,Black
640,17193,0,0,,Black
639,17194,0,0,,Black
640,17195,0,0,,Black
640,17199,0,0,,Black
639,17200,0,0,,Black
634,17200,0,0,,Black
633,17199,0,0,,Black
632,17200,0,0,,Black
592,17200,0,0,,Black
592,17247,0,0,,Black
591,17248,0,0,,Black
544,17248,0,0,,Black
544,17327,0,0,,Black
543,17328,0,0,,Black
416,17328,0,0,,Black
415,17327,0,0,,Black
414,17328,0,0,,Black
400,17328,0,0,,Black
399,17327,0,0,,Black
399,17248,0,0,,Black
360,17248,0,0,,Black
360,17369,0,0,,Black
359,17370,0,0,,Black
271,17370,0,0,,Black
270,17371,0,0,,Black
270,17407,0,0,,Black
271,17408,0,0,,Black
270,17409,0,0,,Black
271,17410,0,0,,Black
271,17411,0,0,,Black
270,17412,0,0,,Black
270,17413,0,0,,Black
271,17414,0,0,,Black
269,17416,0,0,,Black
268,17416,0,0,,Black
267,17415,0,0,,Black
226,17415,0,0,,Black
225,17416,0,0,,Black
223,17414,0,0,,Black
224,17413,0,0,,Black
223,17412,0,0,,Black
224,17411,0,0,,Black
223,17410,0,0,,Black
224,17409,0,0,,Black
223,17408,0,0,,Black
224,17407,0,0,,Black
224,17371,0,0,,Black
223,17370,0,0,,Black
136,17370,0,0,,Black
135,17371,0,0,,Black
135,17458,0,0,,Black
136,17459,0,0,,Black
178,17459,0,0,,Black
179,17458,0,0,,Black
181,17460,0,0,,Black
180,17461,0,0,,Black
180,17548,0,0,,Black
181,17549,0,0,,Black
799,17549,0,0,,Black
14220,16752,1,0,,Black
14220,16783,1,0,,Black
14221,16784,1,0,,Black
14222,16783,1,0,,Black
14223,16784,1,0,,Black
14263,16784,1,0,,Black
14264,16783,1,0,,Black
14266,16785,1,0,,Black
14265,16786,1,0,,Black
14265,16828,1,0,,Black
14266,16829,1,0,,Black
14267,16829,1,0,,Black
14266,16828,1,0,,Black
14267,16827,1,0,,Black
14268,16827,1,0,,Black
14269,16828,1,0,,Black
14269,16829,1,0,,Black
14578,16829,1,0,,Black
14579,16828,1,0,,Black
14581,16830,1,0,,Black
14580,16831,1,0,,Black
14580,16873,1,0,,Black
14581,16874,1,0,,Black
14582,16874,1,0,,Black
14583,16873,1,0,,Black
14584,16874,1,0,,Black
14713,16874,1,0,,Black
14714,16873,1,0,,Black
14714,16831,1,0,,Black
14713,16830,1,0,,Black
14715,16828,1,0,,Black
14716,16829,1,0,,Black
14717,16829,1,0,,Black
14717,16828,1,0,,Black
14718,16827,1,0,,Black
14719,16828,1,0,,Black
14719,16829,1,0,,Black
14800,16829,1,0,,Black
14800,16828,1,0,,Black
14801,16827,1,0,,Black
14802,16828,1,0,,Black
14802,16829,1,0,,Black
14803,16829,1,0,,Black
14804,16828,1,0,,Black
14804,16826,1,0,,Black
14803,16825,1,0,,Black
14803,16824,1,0,,Black
14804,16823,1,0,,Black
14804,16792,1,0,,Black
14803,16791,1,0,,Black
14804,16790,1,0,,Black
14804,16786,1,0,,Black
14803,16785,1,0,,Black
14805,16783,1,0,,Black
14806,16784,1,0,,Black
14893,16784,1,0,,Black
14894,16783,1,0,,Black
14894,16704,1,0,,Black
14224,16704,1,0,,Black
14224,16751,1,0,,Black
14223,16752,1,0,,Black
8767,16656,2,0,,Black
8720,16656,2,0,,Black
8719,16655,2,0,,Black
8719,16608,2,0,,Black
8688,16608,2,0,,Black
8688,16655,2,0,,Black
8687,16656,2,0,,Black
8608,16656,2,0,,Black
8608,16703,2,0,,Black
8607,16704,2,0,,Black
8604,16704,2,0,,Black
8603,16703,2,0,,Black
8602,16704,2,0,,Black
8560,16704,2,0,,Black
8560,16767,2,0,,Black
8767,16767,2,0,,Black
12704,14816,3,0,,Black
12704,14927,3,0,,Black
12735,14927,3,0,,Black
12736,14928,3,0,,Black
12736,15151,3,0,,Black
12783,15151,3,0,,Black
12784,15152,3,0,,Black
12784,15247,3,0,,Black
12863,15247,3,0,,Black
12863,15136,3,0,,Black
12822,15136,3,0,,Black
12821,15135,3,0,,Black
12824,15132,3,0,,Black
12831,15132,3,0,,Black
12828,15132,3,0,,Black
12827,15131,3,0,,Black
12824,15131,3,0,,Black
12822,15129,3,0,,Black
12822,15128,3,0,,Black
12824,15126,3,0,,Black
12830,15126,3,0,,Black
12826,15126,3,0,,Black
12825,15125,3,0,,Black
12822,15125,3,0,,Black
12821,15124,3,0,,Black
12821,15123,3,0,,Black
12820,15122,3,0,,Black
12820,15120,3,0,,Black
12820,15121,3,0,,Black
12819,15122,3,0,,Black
12819,15123,3,0,,Black
12818,15124,3,0,,Black
12817,15124,3,0,,Black
12816,15125,3,0,,Black
12815,15124,3,0,,Black
12815,15116,3,0,,Black
12816,15115,3,0,,Black
12815,15114,3,0,,Black
12815,15111,3,0,,Black
12816,15110,3,0,,Black
12816,15109,3,0,,Black
12815,15108,3,0,,Black
12815,15088,3,0,,Black
12768,15088,3,0,,Black
12767,15087,3,0,,Black
12767,14864,3,0,,Black
12720,14864,3,0,,Black
12719,14863,3,0,,Black
12719,14816,3,0,,Black
6304,14720,4,0,,Black
6304,14767,4,0,,Black
6303,14768,4,0,,Black
6272,14768,4,0,,Black
6272,15023,4,0,,Black
6303,15023,4,0,,Black
6304,15024,4,0,,Black
6304,15071,4,0,,Black
6351,15071,4,0,,Black
6352,15072,4,0,,Black
6352,15103,4,0,,Black
6393,15103,4,0,,Black
6394,15104,4,0,,Black
6393,15105,4,0,,Black
6393,15107,4,0,,Black
6392,15108,4,0,,Black
6392,15109,4,0,,Black
6393,15110,4,0,,Black
6393,15111,4,0,,Black
6391,15113,4,0,,Black
6389,15113,4,0,,Black
6390,15113,4,0,,Black
6391,15114,4,0,,Black
6393,15114,4,0,,Black
6394,15115,4,0,,Black
6394,15116,4,0,,Black
6395,15117,4,0,,Black
6395,15119,4,0,,Black
6395,15118,4,0,,Black
6396,15117,4,0,,Black
6396,15116,4,0,,Black
6397,15115,4,0,,Black
6398,15115,4,0,,Black
6399,15114,4,0,,Black
6400,15115,4,0,,Black
6400,15151,4,0,,Black
6435,15151,4,0,,Black
6436,15152,4,0,,Black
6435,15153,4,0,,Black
6437,15151,4,0,,Black
6447,15151,4,0,,Black
6448,15152,4,0,,Black
6448,15162,4,0,,Black
6446,15164,4,0,,Black
6447,15163,4,0,,Black
6448,15164,4,0,,Black
6448,15167,4,0,,Black
6447,15168,4,0,,Black
6447,15183,4,0,,Black
6448,15184,4,0,,Black
6448,15247,4,0,,Black
6527,15247,4,0,,Black
6528,15248,4,0,,Black
6528,15262,4,0,,Black
6527,15263,4,0,,Black
6528,15264,4,0,,Black
6528,15295,4,0,,Black
6671,15295,4,0,,Black
6672,15296,4,0,,Black
6672,15327,4,0,,Black
6735,15327,4,0,,Black
6735,15296,4,0,,Black
6736,15295,4,0,,Black
6783,15295,4,0,,Black
6783,15088,4,0,,Black
6736,15088,4,0,,Black
6735,15087,4,0,,Black
6735,14992,4,0,,Black
6688,14992,4,0,,Black
6687,14991,4,0,,Black
6687,14987,4,0,,Black
6688,14986,4,0,,Black
6691,14986,4,0,,Black
6692,14985,4,0,,Black
6694,14985,4,0,,Black
6694,14976,4,0,,Black
6693,14975,4,0,,Black
6693,14944,4,0,,Black
6691,14944,4,0,,Black
6691,14975,4,0,,Black
6692,14975,4,0,,Black
6693,14976,4,0,,Black
6693,14980,4,0,,Black
6690,14983,4,0,,Black
6688,14983,4,0,,Black
6687,14982,4,0,,Black
6687,14944,4,0,,Black
6656,14944,4,0,,Black
6655,14943,4,0,,Black
6655,14912,4,0,,Black
6615,14912,4,0,,Black
6614,14911,4,0,,Black
6614,14908,4,0,,Black
6617,14905,4,0,,Black
6618,14905,4,0,,Black
6608,14905,4,0,,Black
6607,14904,4,0,,Black
6607,14864,4,0,,Black
6480,14864,4,0,,Black
6479,14863,4,0,,Black
6479,14849,4,0,,Black
6478,14848,4,0,,Black
6472,14848,4,0,,Black
6471,14847,4,0,,Black
6471,14816,4,0,,Black
6471,14847,4,0,,Black
6470,14848,4,0,,Black
6467,14848,4,0,,Black
6466,14847,4,0,,Black
6466,14816,4,0,,Black
6466,14847,4,0,,Black
6465,14848,4,0,,Black
6464,14848,4,0,,Black
6463,14847,4,0,,Black
6463,14816,4,0,,Black
6432,14816,4,0,,Black
6431,14815,4,0,,Black
6431,14768,4,0,,Black
6384,14768,4,0,,Black
6383,14767,4,0,,Black
6383,14720,4,0,,Black
13229,14224,5,0,,Black
13088,14224,5,0,,Black
13087,14192,5,0,,Black
13048,14191,5,0,,Black
13056,14184,5,0,,Black
13087,14184,5,0,,Black
13049,14184,5,0,,Black
13044,14192,5,0,,Black
13039,14191,5,0,,Black
13039,14183,5,0,,Black
13043,14181,5,0,,Black
13044,14175,5,0,,Black
13039,14175,5,0,,Black
13039,14144,5,0,,Black
12960,14144,5,0,,Black
12959,14128,5,0,,Black
12943,14127,5,0,,Black
12943,14048,5,0,,Black
12592,14048,5,0,,Black
12591,13920,5,0,,Black
12560,13920,5,0,,Black
12559,13952,5,0,,Black
12512,13952,5,0,,Black
12512,13983,5,0,,Black
12560,13984,5,0,,Black
12560,14175,5,0,,Black
12544,14184,5,0,,Black
12512,14184,5,0,,Black
12544,14185,5,0,,Black
12543,14192,5,0,,Black
12512,14192,5,0,,Black
12512,14255,5,0,,Black
12559,14255,5,0,,Black
12560,14303,5,0,,Black
12608,14304,5,0,,Black
12608,14575,5,0,,Black
12687,14575,5,0,,Black
12687,14480,5,0,,Black
12767,14479,5,0,,Black
12767,14304,5,0,,Black
12815,14303,5,0,,Black
12816,14255,5,0,,Black
12964,14255,5,0,,Black
12965,14303,5,0,,Black
12967,14271,5,0,,Black
12970,14272,5,0,,Black
12972,14303,5,0,,Black
12970,14256,5,0,,Black
12975,14255,5,0,,Black
12976,14303,5,0,,Black
13008,14304,5,0,,Black
13008,14431,5,0,,Black
13104,14432,5,0,,Black
13104,14767,5,0,,Black
13056,14768,5,0,,Black
13056,14991,5,0,,Black
13008,14992,5,0,,Black
13008,15262,5,0,,Black
12880,15264,5,0,,Black
12880,15295,5,0,,Black
12975,15295,5,0,,Black
12976,15327,5,0,,Black
13040,15328,5,0,,Black
13039,15335,5,0,,Black
12976,15335,5,0,,Black
13040,15335,5,0,,Black
13056,15344,5,0,,Black
13056,15519,5,0,,Black
13103,15519,5,0,,Black
13104,15599,5,0,,Black
13152,15600,5,0,,Black
13152,15823,5,0,,Black
13183,15823,5,0,,Black
13184,15839,5,0,,Black
13200,15840,5,0,,Black
13200,16191,5,0,,Black
13232,16192,5,0,,Black
13232,16340,5,0,,Black
13200,16344,5,0,,Black
13231,16343,5,0,,Black
13231,16346,5,0,,Black
13216,16348,5,0,,Black
13231,16348,5,0,,Black
13232,16351,5,0,,Black
13200,16352,5,0,,Black
13199,16384,5,0,,Black
13104,16384,5,0,,Black
13104,16479,5,0,,Black
13056,16480,5,0,,Black
13056,16566,5,0,,Black
13052,16567,5,0,,Black
13056,16568,5,0,,Black
13055,16576,5,0,,Black
12976,16576,5,0,,Black
12975,16608,5,0,,Black
12927,16608,5,0,,Black
12927,16656,5,0,,Black
12832,16656,5,0,,Black
12832,16703,5,0,,Black
12784,16704,5,0,,Black
12784,16799,5,0,,Black
12736,16800,5,0,,Black
12736,16879,5,0,,Black
12704,16880,5,0,,Black
12703,16928,5,0,,Black
12512,16928,5,0,,Black
12511,17104,5,0,,Black
